; Fluorescence rates OH from Thesis Schleicher	
; Units L/N [1e-16 ERG/S/MOLECULE]
; rd		0-0		1-0		1-1
-17.0000000	14.6000000	0.8800000	1.3900000
-16.0000000	16.5000000	1.0200000	1.6100000
-15.0000000	20.1000000	1.1700000	1.8400000
-14.0000000	24.3000000	1.3200000	2.0800000
-13.0000000	27.7000000	1.4800000	2.3300000
-12.0000000	29.3000000	1.6700000	2.6200000
-11.0000000	28.4000000	1.8800000	2.9600000
-10.0000000	24.7000000	2.0900000	3.2900000
-9.0000000	20.0000000	2.2500000	3.5500000
-8.0000000	17.0000000	2.3500000	3.7000000
-7.0000000	16.4000000	2.3800000	3.7500000
-6.0000000	17.0000000	2.3600000	3.7200000
-5.0000000	17.4000000	2.2800000	3.5900000
-4.0000000	17.3000000	2.1600000	3.3900000
-3.0000000	17.0000000	2.0200000	3.1700000
-2.0000000	16.4000000	1.8900000	2.9700000
-1.0000000	15.4000000	1.7900000	2.8300000
0.0000000	14.9000000	1.7600000	2.7700000
1.0000000	15.6000000	1.7900000	2.8100000
2.0000000	17.6000000	1.8700000	2.9500000
3.0000000	20.5000000	1.9800000	3.1100000
4.0000000	23.3000000	2.0500000	3.2300000
5.0000000	25.6000000	2.0900000	3.2900000
6.0000000	26.8000000	2.1100000	3.3300000
7.0000000	27.1000000	2.1400000	3.3800000
8.0000000	27.2000000	2.1800000	3.4300000
9.0000000	28.4000000	2.2300000	3.5100000
10.0000000	31.8000000	2.3100000	3.6300000
11.0000000	37.4000000	2.3900000	3.7600000
12.0000000	44.7000000	2.4500000	3.8600000
13.0000000	51.9000000	2.4600000	3.8700000
14.0000000	57.4000000	2.4100000	3.7900000
15.0000000	59.3000000	2.3300000	3.6700000
16.0000000	57.0000000	2.2500000	3.5500000
17.0000000	52.4000000	2.2000000	3.4600000
18.0000000	49.1000000	2.1700000	3.4200000
19.0000000	49.2000000	2.1800000	3.4300000
20.0000000	52.6000000	2.1800000	3.4400000
21.0000000	57.8000000	2.1400000	3.3700000
22.0000000	63.4000000	2.0100000	3.1600000
23.0000000	68.5000000	1.8100000	2.8500000
24.0000000	71.6000000	1.6000000	2.5100000
25.0000000	72.5000000	1.4400000	2.2600000
26.0000000	71.8000000	1.3800000	2.1700000
27.0000000	70.4000000	1.4500000	2.2800000
28.0000000	68.4000000	1.6100000	2.5400000
29.0000000	64.8000000	1.8200000	2.8600000
30.0000000	58.9000000	2.0200000	3.1800000
31.0000000	52.2000000	2.1600000	3.4100000
32.0000000	46.7000000	2.2400000	3.5300000
33.0000000	42.4000000	2.2700000	3.5700000
34.0000000	38.0000000	2.2600000	3.5500000
35.0000000	33.3000000	2.1900000	3.4500000
36.0000000	29.1000000	2.0600000	3.2400000
37.0000000	25.9000000	1.8500000	2.9200000
38.0000000	23.0000000	1.6000000	2.5100000
39.0000000	20.3000000	1.3200000	2.0800000
40.0000000	18.2000000	1.0800000	1.6900000
41.0000000	17.9000000	0.9300000	1.4600000
42.0000000	21.0000000	0.8900000	1.4100000
43.0000000	28.4000000	0.9700000	1.5200000
44.0000000	39.3000000	1.0900000	1.7100000
45.0000000	51.4000000	1.2000000	1.8900000
46.0000000	61.6000000	1.2700000	2.0000000
47.0000000	68.4000000	1.2800000	2.0200000
48.0000000	72.1000000	1.2600000	1.9900000
49.0000000	74.3000000	1.2400000	1.9500000
50.0000000	76.4000000	1.2500000	1.9600000
51.0000000	79.0000000	1.3300000	2.1000000
52.0000000	81.3000000	1.4700000	2.3100000
53.0000000	82.6000000	1.6200000	2.5500000
54.0000000	82.2000000	1.7500000	2.7600000
55.0000000	79.9000000	1.8300000	2.8700000
