,targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
1403,Catalina (C/2013 US10),2457921.702586805,A.D. 2017-Jun-17 04:51:43.5000,8.4,2.890761662931226,6.5,5.472050433601739,3.097854385179781,0.006522004711438096,0.005806283657894421,0.003063474630348788,0.03997081842005409,6.920732673029026,0.0086863688211612
1404,Catalina (C/2013 US10),2457922.702586805,A.D. 2017-Jun-18 04:51:43.5000,8.4,2.897282381017473,6.5,5.477854279033843,3.100916477942445,0.006519432111122651,0.005801409396433177,0.003060712171031213,0.04002097313476653,6.929416692684792,0.00868167214498325
1405,Catalina (C/2013 US10),2457923.702586805,A.D. 2017-Jun-19 04:51:43.5000,8.4,2.903800528453109,6.5,5.483653256766141,3.103975812068193,0.006516863409672757,0.005796548249618,0.003057957350776517,0.04007110075238076,6.938096020623443,0.008676985382168455
1406,Catalina (C/2013 US10),2457924.702586805,A.D. 2017-Jun-20 04:51:43.5000,8.4,2.910316109135136,6.5,5.489447379887473,3.107032395178936,0.006514298603121556,0.005791700166015757,0.00305521013534909,0.04012120133006935,6.9467706667441,0.00867230850427009
1407,Catalina (C/2013 US10),2457925.702586805,A.D. 2017-Jun-21 04:51:43.5000,8.4,2.916829126955834,6.5,5.495236661435715,3.110086234862551,0.006511737685962742,0.005786865095060893,0.003052470490910757,0.0401712749248408,6.955440640917482,0.008667641482858902
1408,Catalina (C/2013 US10),2457926.702586805,A.D. 2017-Jun-22 04:51:43.5000,8.4,2.923339585801171,6.5,5.501021114398442,3.113137338673261,0.006509180651078391,0.005782042986648224,0.003049738383992617,0.04022132159353858,6.964105952985729,0.008662984289155875
1409,Catalina (C/2013 US10),2457927.702586805,A.D. 2017-Jun-23 04:51:43.5000,8.4,2.929847489549206,6.5,5.50680075171318,3.116185714131992,0.00650662748978996,0.005777233790728154,0.003047013781455812,0.04027134139283815,6.972766612761891,0.008658336893713994
1410,Catalina (C/2013 US10),2457928.702586805,A.D. 2017-Jun-24 04:51:43.5000,8.4,2.936352842068604,6.5,5.512575586267284,3.119231368726678,0.006504078192021716,0.005772437456946232,0.003044296650445615,0.04032133437924237,6.981422630029137,0.008653699266179989
1411,Catalina (C/2013 US10),2457929.702586805,A.D. 2017-Jun-25 04:51:43.5000,8.4,2.942855647217358,6.5,5.51834563089748,3.122274309912518,0.006501532746550805,0.005767653934360212,0.00304158695834391,0.04037130060907581,6.990074014539767,0.008649071375153914
1412,Catalina (C/2013 US10),2457930.702586805,A.D. 2017-Jun-26 04:51:43.5000,8.4,2.949355908841788,6.5,5.524110898389174,3.125314545112192,0.00649899114130994,0.005762883171253562,0.003038884672724756,0.04042124013847857,6.998720776014132,0.008644453188149492
1413,Catalina (C/2013 US10),2457931.702586805,A.D. 2017-Jun-27 04:51:43.5000,8.4,2.955853630775859,6.5,5.529871401475631,3.128352081716037,0.006496453363706076,0.005758125115048906,0.00303618976131665,0.04047115302340007,7.007362924139576,0.008639844671644142
1414,Catalina (C/2013 US10),2457932.702586805,A.D. 2017-Jun-28 04:51:43.5000,8.4,2.962348816840807,6.5,5.535627152837105,3.13138692708218,0.006493919400923373,0.00575337971231267,0.003033502191973708,0.0405210393195934,7.01600046856945,0.0086352457911993
1415,Catalina (C/2013 US10),2457933.702586805,A.D. 2017-Jun-29 04:51:43.5000,8.4,2.968841470845052,6.5,5.541378165100015,3.134419088536658,0.006491389240187243,0.005748646908832234,0.003030821932656352,0.04057089908261051,7.024633418922272,0.008630656511626625
1416,Catalina (C/2013 US10),2457934.702586805,A.D. 2017-Jun-30 04:51:43.5000,8.4,2.975331596584351,6.5,5.547124450836239,3.137448573373518,0.00648886286897535,0.005743926649743613,0.003028148951421002,0.04062073236779841,7.033261784781081,0.00862607679717623
1417,Catalina (C/2013 US10),2457935.702586805,A.D. 2017-Jul-01 04:51:43.5000,8.4,2.981819197842134,6.5,5.552866022562516,3.140475388854909,0.006486340275171653,0.005739218879687711,0.003025483216417347,0.04067053923029645,7.041885575692959,0.008621506611727156
