,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
67,Earth (399),2456585.702586805,A.D. 2013-Oct-20 04:51:43.5000,0.8889850991799643,0.4485173268160891,-1.458530687789566e-05,-0.008025172876764996,0.01529034196864037,1.899902407468501e-07,0.005750810658061044,0.995721998969086,-0.0002774627887763444
68,Earth (399),2456586.702586805,A.D. 2013-Oct-21 04:51:43.5000,0.8808276153452056,0.4637402347967306,-1.440335423184309e-05,-0.008289470549326902,0.01515472945905586,1.686961429218409e-07,0.005749215328908344,0.9954457762889473,-0.0002749891433210191
69,Earth (399),2456587.702586805,A.D. 2013-Oct-22 04:51:43.5000,0.8724068158275352,0.4788252907163613,-1.425777274555655e-05,-0.00855179442405807,0.01501463198626856,1.178575267058593e-07,0.005747634134594838,0.9951720009803486,-0.0002725742069643402
70,Earth (399),2456588.702586805,A.D. 2013-Oct-23 04:51:43.5000,0.8637247064831202,0.4937679926712351,-1.417615305493218e-05,-0.008812077914080962,0.01487001641833398,4.149183790962094e-08,0.005746066640186089,0.9949005977367267,-0.0002702493627772743
71,Earth (399),2456589.702586805,A.D. 2013-Oct-24 04:51:43.5000,0.8547833664928791,0.5085638082989175,-1.418180824816524e-05,-0.009070241628355721,0.01472085532009331,-5.592664128035103e-08,0.005744512258485468,0.9946314648881371,-0.0002680363929795492
72,Earth (399),2456590.702586805,A.D. 2013-Oct-25 04:51:43.5000,0.8455849592068262,0.5232081811721879,-1.429347823794337e-05,-0.009326197206532062,0.01456712801195867,-1.697599583315005e-07,0.005742970297474032,0.9943644826152142,-0.000265950297499494
73,Earth (399),2456591.702586805,A.D. 2013-Oct-26 04:51:43.5000,0.8361317395369043,0.537696537348272,-1.452523975707714e-05,-0.00957985027127403,0.01440881993073269,-2.953259706286648e-07,0.005741439991400313,0.994099518332201,-0.0002640020225986254
74,Earth (399),2456592.702586805,A.D. 2013-Oct-27 04:51:43.5000,0.8264260590665206,0.5520242907229029,-1.488645750973657e-05,-0.00983110198550392,0.01424592100265798,-4.278670319943327e-07,0.005739920517819349,0.9938364296371667,-0.0002622005179463799
75,Earth (399),2456593.702586805,A.D. 2013-Oct-28 04:51:43.5000,0.8164703703974844,0.5661868465750814,-1.538164591081217e-05,-0.01007984900575387,0.01407842377616384,-5.624107665279469e-07,0.005738411005688923,0.9935750657138268,-0.0002605537205867078
76,Earth (399),2456594.702586805,A.D. 2013-Oct-29 04:51:43.5000,0.8062672323480243,0.5801796034368288,-1.601016039111776e-05,-0.01032598184615842,0.01390632206640307,-6.935788637962573e-07,0.005736910541604476,0.9933152684110842,-0.0002590681727210985
77,Earth (399),2456595.702586805,A.D. 2013-Oct-30 04:51:43.5000,0.7958193174918033,0.5939979541899751,-1.676570054416806e-05,-0.01056938189702359,0.01372961090073527,-8.154155933441802e-07,0.005735418182730682,0.9930568744820634,-0.0002577470572376643
78,Earth (399),2456596.702586805,A.D. 2013-Oct-31 04:51:43.5000,0.7851294231228362,0.6076372881015254,-1.763568967669798e-05,-0.01080991769301208,0.01354828858371864,-9.213297019760795e-07,0.005733932985864351,0.9927997206161934,-0.0002565865877619994
79,Earth (399),2456597.702586805,A.D. 2013-Nov-01 04:51:43.5000,0.7742004858806255,0.6210929962798735,-1.860069989418281e-05,-0.01104744156736562,0.01336236155534557,-1.004263266295277e-06,0.005732454061492386,0.9925436527990563,-0.0002555710612952457
80,Earth (399),2456598.702586805,A.D. 2013-Nov-02 04:51:43.5000,0.7630355988170421,0.6343604834661073,-1.963420547499224e-05,-0.0112817884515456,0.01317185213886099,-1.057193706297747e-06,0.005730980658128631,0.9922885409148579,-0.000254667553562802
81,Earth (399),2456599.702586805,A.D. 2013-Nov-03 04:51:43.5000,0.7516380277235921,0.6474351886266785,-2.070302493080999e-05,-0.01151277888361226,0.01297680808513021,-1.074004836384275e-06,0.005729512274131913,0.9920342981071215,-0.000253822072052311
82,Earth (399),2456600.702586805,A.D. 2013-Nov-04 04:51:43.5000,0.7400112216929949,0.6603126149431777,-2.176877854237767e-05,-0.011740227642581,0.01277731125893086,-1.050611593850828e-06,0.005728048781978121,0.9917809022957318,-0.0002529594671176224
83,Earth (399),2456601.702586805,A.D. 2013-Nov-05 04:51:43.5000,0.7281588123517098,0.6729883665312794,-2.279047841522224e-05,-0.01196395745826194,0.01257348178970497,-9.860369665730265e-07,0.005726590537727155,0.9915284151305488,-0.0002519888046424854
84,Earth (399),2456602.702586805,A.D. 2013-Nov-06 04:51:43.5000,0.7160845980844227,0.6854581857180057,-2.372800427343513e-05,-0.01218381458319507,0.0123654747209466,-8.830418717171399e-07,0.005725138443710196,0.9912769928453738,-0.000250813931950516
85,Earth (399),2456603.702586805,A.D. 2013-Nov-07 04:51:43.5000,0.7037925137728642,0.6977179829792799,-2.454585435113008e-05,-0.01239968136903545,0.01215346894183401,-7.480182268021701e-07,0.005723693941337535,0.9910268850126626,-0.0002493464806803495
86,Earth (399),2456604.702586805,A.D. 2013-Nov-08 04:51:43.5000,0.6912865912206803,0.7097638531437857,-2.521640924073284e-05,-0.01261148186865039,0.01193765152945273,-5.901509694456924e-07,0.00572225893155922,0.9907784207717124,-0.000247517249231234
87,Earth (399),2456605.702586805,A.D. 2013-Nov-09 04:51:43.5000,0.6785709179988803,0.7215920756499086,-2.572210954804806e-05,-0.01281917953224656,0.01171820230807757,-4.201500122822123e-07,0.005720835642338732,0.9905319858824415,-0.0002452828272821233
88,Earth (399),2456606.702586805,A.D. 2013-Nov-10 04:51:43.5000,0.665649601729004,0.7331991011642773,-2.60563212653581e-05,-0.01302276917704092,0.01149528245919577,-2.489570755372313e-07,0.005719426473971426,0.9902879959431083,-0.0002426267347394079
