wavelength (angstroms),irradiance
1714.0,0.072992
1715.0,0.073305
1716.0,0.0736945
1717.0,0.074084
1718.0,0.0744735
1719.0,0.074863
1720.0,0.0752525
1721.0,0.075642
1722.0,0.0760315
1723.0,0.076421
1724.0,0.0768105
1725.0,0.0772
1726.0,0.07760550000000001
1727.0,0.078011
1728.0,0.0784165
1729.0,0.078822
1730.0,0.0792275
1731.0,0.079633
1732.0,0.0800385
1733.0,0.080444
1734.0,0.08084949999999999
1735.0,0.081255
1736.0,0.08276499999999999
1737.0,0.08427499999999999
1738.0,0.085785
1739.0,0.087295
1740.0,0.088805
1741.0,0.09031499999999999
1742.0,0.09182499999999999
1743.0,0.093335
1744.0,0.094845
1745.0,0.096355
1746.0,0.0981895
1747.0,0.100024
1748.0,0.10185849999999999
1749.0,0.103693
1750.0,0.1055275
1751.0,0.107362
1752.0,0.1091965
1753.0,0.11103099999999999
1754.0,0.1128655
1755.0,0.1147
1756.0,0.11621999999999999
1757.0,0.11774
1758.0,0.11925999999999999
1759.0,0.12078
1760.0,0.12229999999999999
1761.0,0.12381999999999999
1762.0,0.12533999999999998
1763.0,0.12686
1764.0,0.12838
1765.0,0.1299
1766.0,0.13188
1767.0,0.13385999999999998
1768.0,0.13584
1769.0,0.13782
1770.0,0.13979999999999998
1771.0,0.14178
1772.0,0.14376
1773.0,0.14574
1774.0,0.14772
1775.0,0.1497
1776.0,0.15119
1777.0,0.15268
1778.0,0.15417
1779.0,0.15566
1780.0,0.15715
1781.0,0.15864
1782.0,0.16013
1783.0,0.16161999999999999
1784.0,0.16311
1785.0,0.1646
1786.0,0.16499
1787.0,0.16538
1788.0,0.16577
1789.0,0.16616
1790.0,0.16655
1791.0,0.16694
1792.0,0.16733
1793.0,0.16772
1794.0,0.16811
1795.0,0.1685
1796.0,0.17125500000000002
1797.0,0.17401
1798.0,0.176765
1799.0,0.17952
1800.0,0.18227500000000002
1801.0,0.18503
1802.0,0.187785
1803.0,0.19054000000000001
1804.0,0.193295
1805.0,0.19605
1806.0,0.200435
1807.0,0.20482
1808.0,0.209205
1809.0,0.21359
1810.0,0.217975
1811.0,0.22236
1812.0,0.226745
1813.0,0.23113
1814.0,0.235515
1815.0,0.2399
1816.0,0.239875
1817.0,0.23985
1818.0,0.239825
1819.0,0.2398
1820.0,0.23977500000000002
1821.0,0.23975
1822.0,0.239725
1823.0,0.2397
1824.0,0.239675
1825.0,0.23965
1826.0,0.239605
1827.0,0.23956
1828.0,0.239515
1829.0,0.23947
1830.0,0.239425
1831.0,0.23938
1832.0,0.239335
1833.0,0.23929
1834.0,0.23924499999999999
1835.0,0.2392
1836.0,0.237215
1837.0,0.23523
1838.0,0.23324499999999998
1839.0,0.23126
1840.0,0.229275
1841.0,0.22729
1842.0,0.22530499999999998
1843.0,0.22332
1844.0,0.221335
1845.0,0.21935
1846.0,0.22194999999999998
1847.0,0.22455
1848.0,0.22715
1849.0,0.22975
1850.0,0.23235
1851.0,0.23495
1852.0,0.23755
1853.0,0.24015
1854.0,0.24275000000000002
1855.0,0.24535
1856.0,0.24951500000000001
1857.0,0.25368
1858.0,0.257845
1859.0,0.26201
1860.0,0.266175
1861.0,0.27033999999999997
1862.0,0.274505
1863.0,0.27867
1864.0,0.282835
1865.0,0.287
1866.0,0.29028
1867.0,0.29356
1868.0,0.29684
1869.0,0.30012
1870.0,0.3034
1871.0,0.30667999999999995
1872.0,0.30995999999999996
1873.0,0.31323999999999996
1874.0,0.31651999999999997
1875.0,0.3198
1876.0,0.32276499999999997
1877.0,0.32572999999999996
1878.0,0.32869499999999996
1879.0,0.33165999999999995
1880.0,0.33462499999999995
1881.0,0.33759
1882.0,0.340555
1883.0,0.34352
1884.0,0.346485
1885.0,0.34945
1886.0,0.35244
1887.0,0.35542999999999997
1888.0,0.35842
1889.0,0.36141
1890.0,0.3644
1891.0,0.36739
1892.0,0.37038
1893.0,0.37337000000000004
1894.0,0.37636000000000003
1895.0,0.37935
1896.0,0.38134
1897.0,0.38333
1898.0,0.38532
1899.0,0.38731
1900.0,0.3893
1901.0,0.39129
1902.0,0.39328
1903.0,0.39527
1904.0,0.39726
