r (AU),total_fragment_number
6.1701170117011705507081842e-1,6.6466777512581363397420766e31
6.1746174617461746514379684e-1,6.6544208499380159521262706e31
6.1791179117911787521677525e-1,6.6621671795932279407327748e31
6.1836183618361839631205612e-1,6.6699167390945748630718047e31
6.1881188118811880638503453e-1,6.6776695273140356168762446e31
6.1926192619261921645801294e-1,6.6854255431248086746580711e31
6.1971197119711973755329382e-1,6.6931847854012814592308863e31
6.2016201620162014762627223e-1,6.7009472530190501595482788e31
6.2061206120612055769925064e-1,6.7087129448548737939876241e31
6.2106210621062107879453151e-1,6.7164818597867435657843463e31
6.2151215121512148886750992e-1,6.7242539966938035996784763e31
6.2196219621962200996279080e-1,6.7320293544564094887098078e31
6.2241224122412242003576921e-1,6.7398079319560859603813997e31
6.2286228622862283010874762e-1,6.7475897280755737140957012e31
6.2331233123312335120402849e-1,6.7553747416987402498819293e31
6.2376237623762376127700691e-1,6.7631629717106699403886166e31
6.2421242124212417134998532e-1,6.7709544169976271013666670e31
6.2466246624662469244526619e-1,6.7787490764470262679118144e31
6.2511251125112510251824460e-1,6.7865469489474655211018661e31
6.2556255625562551259122301e-1,6.7943480333887255872767766e31
6.2601260126012603368650389e-1,6.8021523286617473200405111e31
6.2646264626462644375948230e-1,6.8099598336586235937817163e31
6.2691269126912696485476317e-1,6.8177705472726470418297703e31
6.2736273627362737492774158e-1,6.8255844683982208851821606e31
6.2781278127812778500072000e-1,6.8334015959309616145759887e31
6.2826282628262819507369841e-1,6.8412219287676134220950493e31
6.2871287128712871616897928e-1,6.8490454658060878328465518e31
6.2916291629162912624195769e-1,6.8568722059454483927223868e31
6.2961296129612964733723857e-1,6.8647021480859052640795735e31
6.3006300630063005741021698e-1,6.8725352911288260343793652e31
6.3051305130513046748319539e-1,6.8803716339767222053883676e31
6.3096309630963098857847626e-1,6.8882111755332473917386873e31
6.3141314131413139865145467e-1,6.8960539147032252432456218e31
6.3186318631863191974673555e-1,6.9038998503925990045918329e31
6.3231323132313232981971396e-1,6.9117489815084306146074212e31
6.3276327632763273989269237e-1,6.9196013069589601537850077e31
6.3321332133213314996567078e-1,6.9274568256535581061236830e31
6.3366336633663367106095166e-1,6.9353155365027091461703494e31
6.3411341134113408113393007e-1,6.9431774384180490685366651e31
6.3456345634563460222921094e-1,6.9510425303123305605418759e31
6.3501350135013501230218935e-1,6.9589108110994475216508037e31
6.3546354635463542237516776e-1,6.9667822796944080418760817e31
6.3591359135913594347044864e-1,6.9746569350133470118571110e31
6.3636363636363635354342705e-1,6.9825347759735324278995393e31
6.3681368136813687463870792e-1,6.9904158014933536826162296e31
6.3726372637263728471168633e-1,6.9983000104922828339704647e31
6.3771377137713769478466475e-1,7.0061874018909601736688673e31
6.3816381638163810485764316e-1,7.0140779746111176659677347e31
6.3861386138613862595292403e-1,7.0219717275755924584719209e31
6.3906390639063903602590244e-1,7.0298686597083539037326009e31
6.3951395139513955712118332e-1,7.0377687699344459131720403e31
6.3996399639963996719416173e-1,7.0456720571800536103580804e31
6.4041404140414037726714014e-1,7.0535785203724456849289077e31
6.4086408640864089836242101e-1,7.0614881584400248329088807e31
6.4131413141314130843539942e-1,7.0694009703122457911953117e31
6.4176417641764171850837783e-1,7.0773169549197144167502689e31
6.4221422142214223960365871e-1,7.0852361111940940117283269e31
6.4266426642664264967663712e-1,7.0931584380681656717115738e31
6.4311431143114305974961553e-1,7.1010839344757976612321450e31
6.4356435643564358084489641e-1,7.1090125993519679317703599e31
6.4401440144014399091787482e-1,7.1169444316327145821588209e31
6.4446444644464451201315569e-1,7.1248794302551709866595069e31
6.4491449144914492208613410e-1,7.1328175941575802064825810e31
6.4536453645364533215911251e-1,7.1407589222792373437111600e31
6.4581458145814574223209092e-1,7.1487034135605480880964702e31
6.4626462646264626332737180e-1,7.1566510669429863832213502e31
6.4671467146714667340035021e-1,7.1646018813691178452183132e31
6.4716471647164719449563108e-1,7.1725558557825592303729007e31
6.4761476147614760456860949e-1,7.1805129891280135632007761e31
6.4806480648064801464158791e-1,7.1884732803512854486864573e31
6.4851485148514853573686878e-1,7.1964367283991964046103228e31
6.4896489648964894580984719e-1,7.2044033322196956500994445e31
6.4941494149414946690512807e-1,7.2123730907617655300354130e31
6.4986498649864987697810648e-1,7.2203460029754683524904626e31
6.5031503150315028705108489e-1,7.2283220678119157642500046e31
6.5076507650765069712406330e-1,7.2363012842232876659310630e31
6.5121512151215121821934417e-1,7.2442836511628502263807831e31
