r (AU),total_fragment_number
5.2520252025202518453284029e-1,6.3330962614544944359028828e31
5.2565256525652559460581870e-1,6.3415606967786391844053406e31
5.2610261026102611570109957e-1,6.3500290755693063266247129e31
5.2655265526552652577407798e-1,6.3585013961840916252541359e31
5.2700270027002704686935886e-1,6.3669776569827399607289266e31
5.2745274527452745694233727e-1,6.3754578563270300390761226e31
5.2790279027902786701531568e-1,6.3839419925808203286306812e31
5.2835283528352838811059655e-1,6.3924300641100688758738401e31
5.2880288028802879818357496e-1,6.4009220692827576449593768e31
5.2925292529252920825655337e-1,6.4094180064689528659486163e31
5.2970297029702972935183425e-1,6.4179178740407654031337095e31
5.3015301530153013942481266e-1,6.4264216703723714715959196e31
5.3060306030603054949779107e-1,6.4349293938399937220871870e31
5.3105310531053107059307195e-1,6.4434410428218688151128119e31
5.3150315031503148066605036e-1,6.4519566156983077691664617e31
5.3195319531953200176133123e-1,6.4604761108516437189744929e31
5.3240324032403241183430964e-1,6.4689995266662481284546100e31
5.3285328532853282190728805e-1,6.4775268615284956626387718e31
5.3330333033303334300256893e-1,6.4860581138268128265491672e31
5.3375337533753375307554734e-1,6.4945932819516113119237301e31
5.3420342034203416314852575e-1,6.5031323642953402389718165e31
5.3465346534653468424380662e-1,6.5116753592524627376561428e31
5.3510351035103509431678503e-1,6.5202222652194289260950211e31
5.3555355535553550438976345e-1,6.5287730805946948256807944e31
5.3600360036003602548504432e-1,6.5373278037787106517208053e31
5.3645364536453643555802273e-1,6.5458864331739289199167253e31
5.3690369036903695665330360e-1,6.5544489671847999427649275e31
5.3735373537353736672628202e-1,6.5630154042177105806015544e31
5.3780378037803777679926043e-1,6.5715857426810905265537236e31
5.3825382538253829789454130e-1,6.5801599809853096244680239e31
5.3870387038703870796751971e-1,6.5887381175427138977075344e31
5.3915391539153911804049812e-1,6.5973201507676120383529423e31
5.3960396039603963913577900e-1,6.6059060790762826129619464e31
5.4005400540054004920875741e-1,6.6144959008869911762478417e31
5.4050405040504045928173582e-1,6.6230896146198956954873439e31
5.4095409540954098037701669e-1,6.6316872186971771549097839e31
5.4140414041404139044999511e-1,6.6402887115429044477082861e31
5.4185418541854180052297352e-1,6.6488940915831397602710490e31
5.4230423042304232161825439e-1,6.6575033572458485001887983e31
5.4275427542754273169123280e-1,6.6661165069609452329709850e31
5.4320432043204325278651368e-1,6.6747335391602747669273517e31
5.4365436543654366285949209e-1,6.6833544522776094510081552e31
5.4410441044104407293247050e-1,6.6919792447486581820034218e31
5.4455445544554459402775137e-1,6.7006079150110177656669714e31
5.4500450045004500410072978e-1,6.7092404615042359671112008e31
5.4545454545454541417370820e-1,6.7178768826697601697713318e31
5.4590459045904593526898907e-1,6.7265171769509292689260817e31
5.4635463546354634534196748e-1,6.7351613427930142040943097e31
5.4680468046804675541494589e-1,6.7438093786431576108000103e31
5.4725472547254727651022677e-1,6.7524612829504260623279906e31
5.4770477047704768658320518e-1,6.7611170541657614308478948e31
5.4815481548154809665618359e-1,6.7697766907420007032525647e31
5.4860486048604861775146446e-1,6.7784401911338462574004987e31
5.4905490549054902782444287e-1,6.7871075537979289125106355e31
5.4950495049504954891972375e-1,6.7957787771927034456509988e31
5.4995499549954995899270216e-1,6.8044538597785278550921389e31
5.5040504050405036906568057e-1,6.8131328000176237286304122e31
5.5085508550855089016096144e-1,6.8218155963740780450278319e31
5.5130513051305130023393986e-1,6.8305022473138395711323662e31
5.5175517551755171030691827e-1,6.8391927513047107553986089e31
5.5220522052205223140219914e-1,6.8478871068163522314874070e31
5.5265526552655264147517755e-1,6.8565853123202810168260094e31
5.5310531053105305154815596e-1,6.8652873662898642075685891e31
5.5355535553555357264343684e-1,6.8739932672002901555586275e31
5.5400540054005398271641525e-1,6.8827030135285945892067535e31
5.5445544554455450381169612e-1,6.8914166037536669185302216e31
5.5490549054905491388467453e-1,6.9001340363562241142750733e31
5.5535553555355532395765294e-1,6.9088553098187782819988199e31
5.5580558055805584505293382e-1,6.9175804226257240319032138e31
5.5625562556255625512591223e-1,6.9263093732632168816443090e31
5.5670567056705666519889064e-1,6.9350421602192759384039655e31
5.5715571557155718629417152e-1,6.9437787819837100398559604e31
5.5760576057605759636714993e-1,6.9525192370481447757637520e31
5.5805580558055800644012834e-1,6.9612635239060080764616723e31
5.5850585058505852753540921e-1,6.9700116410525581351726166e31
5.5895589558955893760838762e-1,6.9787635869847942367354217e31
5.5940594059405945870366850e-1,6.9875193602015693475955501e31
5.5985598559855986877664691e-1,6.9962789592035045474121699e31
5.6030603060306027884962532e-1,7.0050423824929962348175587e31
5.6075607560756079994490619e-1,7.0138096285742566598137499e31
