time (Julian Date),wavelength (nm),irradiance (W/m^2/nm)
2458850.0,393.36,NaN
2458850.0,393.88,NaN
2458850.0,394.40,NaN
2458850.0,394.93,NaN
2458850.0,395.46,NaN
2458850.0,395.99,NaN
2458850.0,396.53,NaN
2458850.0,397.07,NaN
2458850.0,397.61,NaN
2458850.0,398.15,NaN
2458850.0,398.69,NaN
2458850.0,399.24,NaN
2458850.0,399.79,NaN
2458850.0,400.34,NaN
2458850.0,400.89,NaN
2458850.0,401.45,NaN
2458850.0,402.01,NaN
2458850.0,402.57,NaN
2458850.0,403.13,NaN
2458850.0,403.70,NaN
2458850.0,404.27,NaN
2458850.0,404.84,NaN
2458850.0,405.41,NaN
2458850.0,405.99,NaN
2458850.0,406.57,NaN
2458850.0,407.15,NaN
2458850.0,407.74,NaN
2458850.0,408.33,NaN
2458850.0,408.92,NaN
2458850.0,409.51,NaN
2458850.0,410.11,NaN
2458850.0,410.70,NaN
2458850.0,411.31,NaN
2458850.0,411.91,NaN
2458850.0,412.52,NaN
2458850.0,413.13,NaN
2458850.0,413.74,NaN
2458850.0,414.36,NaN
2458850.0,414.98,NaN
2458850.0,415.60,NaN
2458850.0,416.22,NaN
2458850.0,416.85,NaN
2458850.0,417.48,NaN
2458850.0,418.11,NaN
2458850.0,418.75,NaN
2458850.0,419.39,NaN
2458850.0,420.04,NaN
2458850.0,420.68,NaN
2458850.0,421.33,NaN
2458850.0,421.98,NaN
2458850.0,422.64,NaN
2458850.0,423.30,NaN
2458850.0,423.96,NaN
2458850.0,424.63,NaN
2458850.0,425.30,NaN
2458850.0,425.97,NaN
2458850.0,426.65,NaN
2458850.0,427.32,NaN
2458850.0,428.01,NaN
2458850.0,428.69,NaN
2458850.0,429.38,NaN
2458850.0,430.08,NaN
2458850.0,430.77,NaN
2458850.0,431.47,NaN
2458850.0,432.18,NaN
2458850.0,432.89,NaN
2458850.0,433.60,NaN
2458850.0,434.31,NaN
2458850.0,435.03,NaN
2458850.0,435.75,NaN
2458850.0,436.48,NaN
2458850.0,437.21,NaN
2458850.0,437.94,NaN
2458850.0,438.68,NaN
2458850.0,439.42,NaN
2458850.0,440.17,NaN
2458850.0,440.92,NaN
2458850.0,441.67,NaN
2458850.0,442.43,NaN
2458850.0,443.19,NaN
2458850.0,443.96,NaN
2458850.0,444.73,NaN
2458850.0,445.50,NaN
2458850.0,446.28,NaN
2458850.0,447.06,NaN
2458850.0,447.85,NaN
2458850.0,448.64,NaN
2458850.0,449.43,NaN
2458850.0,450.23,NaN
2458850.0,451.04,NaN
2458850.0,451.85,NaN
2458850.0,452.66,NaN
2458850.0,453.48,NaN
2458850.0,454.30,NaN
2458850.0,455.13,NaN
2458850.0,455.96,NaN
2458850.0,456.80,NaN
2458850.0,457.64,NaN
2458850.0,458.48,NaN
2458850.0,459.33,NaN
2458850.0,460.19,NaN
2458850.0,461.05,NaN
2458850.0,461.92,NaN
2458850.0,462.79,NaN
2458850.0,463.66,NaN
2458850.0,464.54,NaN
2458850.0,465.43,NaN
2458850.0,466.32,NaN
2458850.0,467.22,NaN
2458850.0,468.12,NaN
2458850.0,469.03,NaN
2458850.0,469.94,NaN
2458850.0,470.86,NaN
2458850.0,471.78,NaN
2458850.0,472.71,NaN
2458850.0,473.64,NaN
2458850.0,474.58,NaN
2458850.0,475.53,NaN
2458850.0,476.48,NaN
2458850.0,477.44,NaN
