,OBS_ID,DATE_OBS,DATE_END,FILTER,PA_PNT,RA_OBJ,DEC_OBJ,EXPOSURE,MID_TIME,EXTENSION,FITS_FILENAME,HELIO,HELIO_V,OBS_DIS,PHASE,RA,DEC,PX,PY
282,00020405003,2014-08-14T22:17:06.000,2014-08-14T22:20:26.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622256409599,2014-08-14T22:18:46.000,3,sw00020405003uw1_sk.img.gz,5.826354272034,-16.1850178,4.93530835280357,5.1532,356.37551,-17.59321,449.9238449386941,835.3530187520483
283,00020405003,2014-08-14T22:20:29.000,2014-08-14T22:23:49.000,UVW1,91.9953823496431,356.296672,-17.63673,196.633082954064,2014-08-14T22:22:09.000,4,sw00020405003uw1_sk.img.gz,5.826332307323,-16.1850432,4.93526963963388,5.1527,356.37498,-17.59347,452.5101248082586,835.0169512987865
284,00020405003,2014-08-14T22:23:52.000,2014-08-14T22:27:11.000,UVW1,91.9953823496431,356.296672,-17.63673,196.6330828954,2014-08-14T22:25:31.500,5,sw00020405003uw1_sk.img.gz,5.826310396794,-16.1850685,4.93523315961215,5.1521,356.37446,-17.59372,454.58056063304986,833.9702802057144
285,00020405003,2014-08-14T22:27:14.000,2014-08-14T22:27:58.000,UVW1,91.9953823496431,356.296672,-17.63673,42.4366234839822,2014-08-14T22:27:36.000,6,sw00020405003uw1_sk.img.gz,5.826296925913,-16.1850841,4.93521172401032,5.1517,356.37415,-17.59387,455.3285970073411,833.048464856817
286,00034020004,2015-09-01T07:28:19.000,2015-09-01T07:33:56.000,UGRISM,285.000736618695,232.79443,-60.35351,128.1050436,2015-09-01T07:31:07.500,1,sw00034020004ugu_sk.img.gz,1.560055090668,-23.1858443,1.20696869296151,40.309,232.79044,-60.35064,1971.0183959402718,1475.9583332564057
287,00034471001,2016-04-10T11:00:19.000,2016-04-10T11:03:39.000,UVW1,233.019977493907,67.83929,48.77366,196.622236698307,2016-04-10T11:01:59.000,1,sw00034471001uw1_sk.img.gz,2.495235854545,21.8358511,2.88665947849978,19.7942,67.81846,48.73837,563.631544180581,432.3686742509433
288,00034471001,2016-04-10T11:03:42.000,2016-04-10T11:07:02.000,UVW1,233.019977493907,67.83929,48.77366,196.622256409599,2016-04-10T11:05:22.000,2,sw00034471001uw1_sk.img.gz,2.495265480399,21.8357853,2.88672432979429,19.7935,67.81866,48.73819,565.422117918196,430.7032422317194
289,00034471001,2016-04-10T11:07:05.000,2016-04-10T11:10:25.000,UVW1,233.019977493907,67.83929,48.77366,196.633102606692,2016-04-10T11:08:45.000,3,sw00034471001uw1_sk.img.gz,2.495295106031,21.8357195,2.88679098816119,19.793,67.81885,48.73798,564.858598931278,429.9307702975573
290,00034471001,2016-04-10T11:10:28.000,2016-04-10T11:13:48.000,UVW1,233.019977493907,67.83929,48.77366,196.622236698307,2016-04-10T11:12:08.000,4,sw00034471001uw1_sk.img.gz,2.495324731453,21.8356537,2.88685932475955,19.7925,67.81906,48.73775,564.7447634825272,427.5583004785025
291,00034471001,2016-04-10T11:13:51.000,2016-04-10T11:17:10.000,UVW1,233.019977493907,67.83929,48.77366,196.622256468263,2016-04-10T11:15:30.500,5,sw00034471001uw1_sk.img.gz,2.495354283709,21.8355881,2.88692895399324,19.792,67.8193,48.73748,563.3881615926011,427.0175824022593
292,00034471001,2016-04-10T11:17:13.000,2016-04-10T11:17:57.000,UVW1,233.019977493907,67.83929,48.77366,42.6537835506933,2016-04-10T11:17:35.000,6,sw00034471001uw1_sk.img.gz,2.495372452787,21.8355477,2.88697236766245,19.7918,67.81946,48.7373,564.3602368252098,427.00068037792425
293,00033827003,2015-06-20T02:22:21.000,2015-06-20T02:25:41.000,UVW1,63.9895936301954,359.270157,-31.14157,196.633082954064,2015-06-20T02:24:01.000,1,sw00033827003uw1_sk.img.gz,2.519323249933,-21.7831552,2.12116262570859,23.3325,359.33304,-31.16791,360.75795650047644,405.10288816436855
294,00033827003,2015-06-20T02:25:43.000,2015-06-20T02:29:03.000,UVW1,63.9895936301954,359.270157,-31.14157,196.622197334387,2015-06-20T02:27:23.000,2,sw00033827003uw1_sk.img.gz,2.519293831376,-21.7832206,2.12109366595622,23.3323,359.33282,-31.16871,362.9909950089424,403.192067699708
295,00033827003,2015-06-20T02:29:06.000,2015-06-20T02:32:26.000,UVW1,63.9895936301954,359.270157,-31.14157,196.633082954064,2015-06-20T02:30:46.000,3,sw00033827003uw1_sk.img.gz,2.519264267238,-21.7832864,2.12102635011406,23.3321,359.3326,-31.16949,363.74316830637645,400.6367554742853
296,00033827003,2015-06-20T02:32:29.000,2015-06-20T02:35:49.000,UVW1,63.9895936301954,359.270157,-31.14157,196.6330828954,2015-06-20T02:34:09.000,4,sw00033827003uw1_sk.img.gz,2.519234703153,-21.7833521,2.12096099646334,23.3319,359.33241,-31.17024,364.7101867889086,397.21057147422744
297,00033827003,2015-06-20T02:35:52.000,2015-06-20T02:39:12.000,UVW1,63.9895936301954,359.270157,-31.14157,196.622197393052,2015-06-20T02:37:32.000,5,sw00033827003uw1_sk.img.gz,2.519205139112,-21.7834178,2.12089748149695,23.3317,359.33225,-31.17098,364.8717433291778,395.105506262557
298,00033827003,2015-06-20T02:39:15.000,2015-06-20T02:39:57.000,UVW1,63.9895936301954,359.270157,-31.14157,42.0891122912229,2015-06-20T02:39:36.000,6,sw00033827003uw1_sk.img.gz,2.519187080305,-21.783458,2.12085950107751,23.3316,359.33218,-31.17143,364.90854182594245,392.9815894132677
299,00033369002,2014-08-14T10:53:21.000,2014-08-14T10:56:41.000,V,91.990547875892,356.378516,-17.57647,196.6330828954,2014-08-14T10:55:01.000,1,sw00033369002uvv_sk.img.gz,5.830792507167,-16.1798823,4.94342226520506,5.2206,356.4585,-17.53231,453.33263116327004,818.4221893095695
300,00033369002,2014-08-14T10:56:44.000,2014-08-14T10:59:57.000,V,91.990547875892,356.378516,-17.57647,190.845310604611,2014-08-14T10:58:20.500,2,sw00033369002uvv_sk.img.gz,5.830770927597,-16.1799073,4.9433766005716,5.2203,356.458,-17.53259,456.02353148865694,818.5760546083374
301,00033932002,2015-08-11T20:16:20.000,2015-08-11T20:19:40.000,V,189.994262270393,304.15434,-73.25688,196.622236756971,2015-08-11T20:18:00.000,1,sw00033932002uvv_sk.img.gz,1.834152013895,-23.0990631,1.09153022124015,28.2175,304.17824,-73.25606,669.9396351745407,764.2784039294839
302,00033932002,2015-08-11T20:19:43.000,2015-08-11T20:22:56.000,V,189.994262270393,304.15434,-73.25688,190.313217241674,2015-08-11T20:21:19.500,2,sw00033932002uvv_sk.img.gz,1.834121209124,-23.0990991,1.09152487561317,28.2187,304.16559,-73.2565,680.76022560625,762.1653465321583
